"","team","team_abrev","season","win_total"
"1","Atlanta Hawks ","ATL","1999-00",46.5
"2","Atlanta Hawks ","ATL","2000-01",NA
"3","Atlanta Hawks ","ATL","2001-02",36.5
"4","Atlanta Hawks ","ATL","2002-03",41.5
"5","Atlanta Hawks ","ATL","2003-04",33
"6","Atlanta Hawks ","ATL","2004-05",27.5
"7","Atlanta Hawks ","ATL","2005-06",21.5
"8","Atlanta Hawks ","ATL","2006-07",28
"9","Atlanta Hawks ","ATL","2007-08",38.5
"10","Atlanta Hawks ","ATL","2008-09",36.5
"11","Boston Celtics ","BKN","1999-00",36.5
"12","Boston Celtics ","BKN","2000-01",NA
"13","Boston Celtics ","BKN","2001-02",35.5
"14","Boston Celtics ","BKN","2002-03",47.5
"15","Boston Celtics ","BKN","2003-04",43.5
"16","Boston Celtics ","BKN","2004-05",40.5
"17","Boston Celtics ","BKN","2005-06",40.5
"18","Boston Celtics ","BKN","2006-07",35
"19","Boston Celtics ","BKN","2007-08",49.5
"20","Boston Celtics ","BKN","2008-09",53.5
"21","Brooklyn Nets ","BOS","1999-00",40.5
"22","Brooklyn Nets ","BOS","2000-01",NA
"23","Brooklyn Nets ","BOS","2001-02",35.5
"24","Brooklyn Nets ","BOS","2002-03",52.5
"25","Brooklyn Nets ","BOS","2003-04",51.5
"26","Brooklyn Nets ","BOS","2004-05",37.5
"27","Brooklyn Nets ","BOS","2005-06",47
"28","Brooklyn Nets ","BOS","2006-07",46.5
"29","Brooklyn Nets ","BOS","2007-08",43.5
"30","Brooklyn Nets ","BOS","2008-09",27.5
"31","Charlotte Hornets ","CHA","1999-00",49.5
"32","Charlotte Hornets ","CHA","2000-01",NA
"33","Charlotte Hornets ","CHA","2001-02",45.5
"34","Charlotte Hornets ","CHA","2002-03",NA
"35","Charlotte Hornets ","CHA","2003-04",NA
"36","Charlotte Hornets ","CHA","2004-05",16.5
"37","Charlotte Hornets ","CHA","2005-06",21
"38","Charlotte Hornets ","CHA","2006-07",32
"39","Charlotte Hornets ","CHA","2007-08",35.5
"40","Charlotte Hornets ","CHA","2008-09",36.5
"41","Chicago Bulls ","CHI","1999-00",27.5
"42","Chicago Bulls ","CHI","2000-01",NA
"43","Chicago Bulls ","CHI","2001-02",18.5
"44","Chicago Bulls ","CHI","2002-03",30.5
"45","Chicago Bulls ","CHI","2003-04",36.5
"46","Chicago Bulls ","CHI","2004-05",32.5
"47","Chicago Bulls ","CHI","2005-06",43
"48","Chicago Bulls ","CHI","2006-07",48
"49","Chicago Bulls ","CHI","2007-08",50.5
"50","Chicago Bulls ","CHI","2008-09",40.5
"51","Cleveland Cavaliers ","CLE","1999-00",40.5
"52","Cleveland Cavaliers ","CLE","2000-01",NA
"53","Cleveland Cavaliers ","CLE","2001-02",26.5
"54","Cleveland Cavaliers ","CLE","2002-03",22.5
"55","Cleveland Cavaliers ","CLE","2003-04",29.5
"56","Cleveland Cavaliers ","CLE","2004-05",43.5
"57","Cleveland Cavaliers ","CLE","2005-06",49.5
"58","Cleveland Cavaliers ","CLE","2006-07",48
"59","Cleveland Cavaliers ","CLE","2007-08",49.5
"60","Cleveland Cavaliers ","CLE","2008-09",47.5
"61","Dallas Mavericks ","DAL","1999-00",30.5
"62","Dallas Mavericks ","DAL","2000-01",NA
"63","Dallas Mavericks ","DAL","2001-02",52.5
"64","Dallas Mavericks ","DAL","2002-03",55.5
"65","Dallas Mavericks ","DAL","2003-04",57.5
"66","Dallas Mavericks ","DAL","2004-05",50.5
"67","Dallas Mavericks ","DAL","2005-06",52.5
"68","Dallas Mavericks ","DAL","2006-07",56
"69","Dallas Mavericks ","DAL","2007-08",56.5
"70","Dallas Mavericks ","DAL","2008-09",46.5
"71","Denver Nuggets ","DEN","1999-00",31.5
